,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
0,10,HD_211336,2,7956.7091,317174,0.7935,0.005348,0.001709,0.000434,0.966,5510.1,W2,S2,211014_2_HD_211336.pav,206389987.0615772,206389987.0615772,116.62320810467833,0.008823614103034456,0.0017691511387163562,0.0004492753623188406,0.20567851852403835,0.01235117326653037,-73389018.47750463,146406331.18304858
1,11,HD_211336,2,7956.7091,317174,0.7857,0.007839,0.002121,0.000402,0.9653,5856.9,W2,S2,211014_2_HD_211336.pav,208438914.00453293,208438914.00453293,116.62320810467833,0.013031144622161695,0.0021972443799854967,0.0004164508442971097,0.19590747958067925,0.007234639964497381,-73389018.47750463,146406331.18304858
2,12,HD_211336,2,7956.7091,317174,0.7779,0.010684,0.002616,0.000408,0.9644,6140.0,W2,S2,211014_2_HD_211336.pav,210528930.11101878,210528930.11101878,116.62320810467833,0.01790089878025873,0.002712567399419328,0.0004230609705516383,0.19938954288977823,0.005425591128532,-73389018.47750463,146406331.18304858
3,13,HD_211336,2,7956.7091,317174,0.7706,0.01199,0.003089,0.000416,0.9634,6085.6,W2,S2,211014_2_HD_211336.pav,212523299.6799397,212523299.6799397,116.62320810467833,0.020243734540934716,0.0032063525015569856,0.00043180402740294785,0.19453916415757988,0.0048803038186951,-73389018.47750463,146406331.18304858
4,14,HD_211336,2,7956.7091,317174,0.7633,0.00991,0.002423,0.000402,0.963,6257.2,W2,S2,211014_2_HD_211336.pav,214555816.498574,214555816.498574,116.62320810467833,0.016852157179460453,0.0025160955347871233,0.00041744548286604366,0.16990283287057945,0.004850532824724426,-73389018.47750463,146406331.18304858
5,15,HD_211336,2,7956.7091,317174,0.7564,0.008278,0.001754,0.000373,0.9626,6688.0,W2,S2,211014_2_HD_211336.pav,216513028.46821988,216513028.46821988,116.62320810467833,0.014174502627809163,0.001822148348223561,0.00038749220860170375,0.16362321449075531,0.005096663297604173,-73389018.47750463,146406331.18304858
6,16,HD_211336,2,7956.7091,317174,0.7496,0.006573,0.001339,0.000335,0.9618,7352.8,W2,S2,211014_2_HD_211336.pav,218477127.44578642,218477127.44578642,116.62320810467833,0.011338122206398241,0.0013921813266791433,0.00034830526096901645,0.17094319574044803,0.006016552022845646,-73389018.47750463,146406331.18304858
7,17,HD_211336,2,7956.7091,317174,0.7428,0.004651,0.001425,0.000325,0.9596,7684.7,W2,S2,211014_2_HD_211336.pav,220477187.30931813,220477187.30931813,116.62320810467833,0.008094667902246538,0.0014849937473947479,0.00033868278449353896,0.15488098880726348,0.007286875961914232,-73389018.47750463,146406331.18304858
8,18,HD_211336,2,7956.7091,317174,0.736,0.00436,0.00124,0.000313,0.9585,8180.3,W2,S2,211014_2_HD_211336.pav,222514204.80076292,222514204.80076292,116.62320810467833,0.007648361642049778,0.0012936880542514346,0.0003265519040166928,0.14766835294159386,0.007005585276819317,-73389018.47750463,146406331.18304858
9,19,HD_211336,2,7956.7091,317174,0.7292,0.004384,0.001393,0.000289,0.9587,8582.3,W2,S2,211014_2_HD_211336.pav,224589213.8416916,224589213.8416916,116.62320810467833,0.007741941825583058,0.0014530092834046104,0.00030144988004589544,0.1354160222442764,0.005711433055332036,-73389018.47750463,146406331.18304858
