,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
0,48,HD_125162,3,7509.7261,164025,0.7935,0.015754,0.008375,0.000391,0.9751,5575.2,W1,E2,200724_3_HD_125162.pav,285677212.32843065,285677212.32843065,-126.22815893488705,0.019493225031391614,0.008588862680750693,0.0004009845144087786,0.1382217266690811,0.006499968798954162,-133971253.4032085,-182859871.57894018
1,49,HD_125162,3,7509.7261,164025,0.7857,0.015346,0.007541,0.000351,0.9759,6005.0,W1,E2,200724_3_HD_125162.pav,288513259.49167585,288513259.49167585,-126.22815893488705,0.019035630124368867,0.0077272261502203095,0.0003596679987703658,0.14131758658875396,0.004604691164297674,-133971253.4032085,-182859871.57894018
2,50,HD_125162,3,7509.7261,164025,0.7779,0.014907,0.007871,0.00036,0.9763,6295.1,W1,E2,200724_3_HD_125162.pav,291406180.72067064,291406180.72067064,-126.22815893488705,0.018546134407237104,0.00806207108470757,0.0003687391170746697,0.13026718847838423,0.0033649550853028756,-133971253.4032085,-182859871.57894018
3,51,HD_125162,3,7509.7261,164025,0.7706,0.01534,0.008207,0.00037,0.9759,6198.3,W1,E2,200724_3_HD_125162.pav,294166711.63069004,294166711.63069004,-126.22815893488705,0.019154821142590046,0.008409673122246133,0.0003791372066810124,0.1302178101604891,0.004572948603677659,-133971253.4032085,-182859871.57894018
4,52,HD_125162,3,7509.7261,164025,0.7633,0.013441,0.007105,0.000371,0.9758,6309.5,W1,E2,200724_3_HD_125162.pav,296980044.5206468,296980044.5206468,-126.22815893488705,0.016841221732200443,0.0072812051649928265,0.00038020086083213775,0.1256929641090332,0.005023732671423828,-133971253.4032085,-182859871.57894018
5,53,HD_125162,3,7509.7261,164025,0.7564,0.011981,0.005762,0.000308,0.976,6704.9,W1,E2,200724_3_HD_125162.pav,299689143.28742695,299689143.28742695,-126.22815893488705,0.015057157646330829,0.005903688524590164,0.0003155737704918033,0.12676761263483774,0.0061878566908208504,-133971253.4032085,-182859871.57894018
6,54,HD_125162,3,7509.7261,164025,0.7496,0.010055,0.004796,0.00028,0.9758,7382.5,W1,E2,200724_3_HD_125162.pav,302407774.7900343,302407774.7900343,-126.22815893488705,0.012680359319049433,0.004914941586390654,0.00028694404591104734,0.11997450365956111,0.003677526959022321,-133971253.4032085,-182859871.57894018
7,55,HD_125162,3,7509.7261,164025,0.7428,0.009078,0.003717,0.000296,0.9753,7729.7,W1,E2,200724_3_HD_125162.pav,305176181.99058926,305176181.99058926,-126.22815893488705,0.011492204743511284,0.003811135035373731,0.00030349636009432995,0.11674612126135449,0.005006365498071112,-133971253.4032085,-182859871.57894018
8,56,HD_125162,3,7509.7261,164025,0.736,0.008721,0.004229,0.00033,0.9757,8223.6,W1,E2,200724_3_HD_125162.pav,307995744.5415893,307995744.5415893,-126.22815893488705,0.011073292650658524,0.00433432407502306,0.0003382187147688839,0.10208594848510147,0.0037625421864750414,-133971253.4032085,-182859871.57894018
9,57,HD_125162,3,7509.7261,164025,0.7292,0.009863,0.004987,0.000264,0.9758,8607.5,W1,E2,200724_3_HD_125162.pav,310867893.55815923,310867893.55815923,-126.22815893488705,0.012565644735927134,0.005110678417708547,0.00027054724328755893,0.09898339372976227,0.0037197541437970316,-133971253.4032085,-182859871.57894018
10,58,HD_125162,3,7509.7261,164025,0.7223,0.009992,0.004687,0.000262,0.9755,9049.9,W1,E2,200724_3_HD_125162.pav,313837557.77739125,313837557.77739125,-126.22815893488705,0.012779940326138831,0.004804715530497181,0.00026858021527421835,0.0975843530110384,0.004667757612813529,-133971253.4032085,-182859871.57894018
11,59,HD_125162,3,7509.7261,164025,0.7159,0.009637,0.004588,0.000273,0.9744,9057.9,W1,E2,200724_3_HD_125162.pav,316643201.5401728,316643201.5401728,-126.22815893488705,0.012382169978815282,0.004708538587848933,0.00028017241379310343,0.09480824883238848,0.005505703556174953,-133971253.4032085,-182859871.57894018
12,60,HD_125162,3,7509.7261,164025,0.7095,0.009883,0.004635,0.00026,0.9739,9554.3,W1,E2,200724_3_HD_125162.pav,319499461.5681603,319499461.5681603,-126.22815893488705,0.012749325928684363,0.004759215525207927,0.00026696786117671214,0.09392495964885779,0.004328531232457321,-133971253.4032085,-182859871.57894018
13,61,HD_125162,3,7509.7261,164025,0.7035,0.010954,0.00457,0.000241,0.9735,9996.5,W1,E2,200724_3_HD_125162.pav,322224403.671087,322224403.671087,-126.22815893488705,0.01418425771947907,0.0046944016435541865,0.0002475603492552645,0.0915180883597394,0.0029398188619120464,-133971253.4032085,-182859871.57894018
14,62,HD_125162,3,7509.7261,164025,0.6977,0.012008,0.005021,0.000277,0.9733,10277.9,W1,E2,200724_3_HD_125162.pav,324903064.3293819,324903064.3293819,-126.22815893488705,0.01560384429487153,0.005158738312955923,0.00028459878762971335,0.08614382767529076,0.002230663526385624,-133971253.4032085,-182859871.57894018
