,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
1,49,HD_28024,27,7956.8906,42842,0.7857,0.009564,0.002675,0.000418,0.9532,5672.0,W2,S2,211014_27_HD_28024.pav,217388462.03800413,217388462.03800413,98.72778053448546,0.015818952739778555,0.0028063365505665125,0.0004385228703315149,0.26842488004686693,0.011905562246585823,-25917527.454046477,168824299.58523726
2,50,HD_28024,27,7956.8906,42842,0.7779,0.01094,0.002595,0.000422,0.9536,5979.5,W2,S2,211014_27_HD_28024.pav,219568215.22465593,219568215.22465593,98.72778053448546,0.01820987354683238,0.00272126677852349,0.0004425335570469799,0.24490999152511636,0.008557901000175278,-25917527.454046477,168824299.58523726
3,51,HD_28024,27,7956.8906,42842,0.7706,0.011346,0.002839,0.000445,0.9536,5968.8,W2,S2,211014_27_HD_28024.pav,221648215.1872046,221648215.1872046,98.72778053448546,0.019007996476128018,0.0029771392617449666,0.00046665268456375834,0.22499072889465976,0.015387775331647025,-25917527.454046477,168824299.58523726
4,52,HD_28024,27,7956.8906,42842,0.7633,0.010199,0.002621,0.000409,0.9532,6126.2,W2,S2,211014_27_HD_28024.pav,223768000.29249293,223768000.29249293,98.72778053448546,0.017206537715920126,0.002749685270667226,0.00042908099034830047,0.23284603888729283,0.008767490215632811,-25917527.454046477,168824299.58523726
5,53,HD_28024,27,7956.8906,42842,0.7564,0.00879,0.002096,0.000378,0.9517,6522.1,W2,S2,211014_27_HD_28024.pav,225809247.2544419,225809247.2544419,98.72778053448546,0.01494707375899102,0.0022023746979090053,0.00039718398655038355,0.2124017809762864,0.008431483252646144,-25917527.454046477,168824299.58523726
6,54,HD_28024,27,7956.8906,42842,0.7496,0.00626,0.001724,0.000348,0.9508,7196.6,W2,S2,211014_27_HD_28024.pav,227857676.92537332,227857676.92537332,98.72778053448546,0.010722958364522873,0.001813209928481279,0.000366007572570467,0.21188856138719592,0.01836668963174449,-25917527.454046477,168824299.58523726
7,55,HD_28024,27,7956.8906,42842,0.7428,0.004614,0.001204,0.000316,0.9509,7639.7,W2,S2,211014_27_HD_28024.pav,229943611.50142682,229943611.50142682,98.72778053448546,0.007953991693524946,0.0012661688926280366,0.0003323167525502156,0.22287060566683328,0.018894561838055754,-25917527.454046477,168824299.58523726
8,56,HD_28024,27,7956.8906,42842,0.736,0.004307,0.000968,0.000279,0.9507,8290.0,W2,S2,211014_27_HD_28024.pav,232068090.52073348,232068090.52073348,98.72778053448546,0.007475366581232433,0.0010181971179131168,0.0002934679709687599,0.22725569595751136,0.013247268437581694,-25917527.454046477,168824299.58523726
12,60,HD_28024,27,7956.8906,42842,0.7095,0.004856,0.001281,0.000295,0.9502,9337.1,W2,S2,211014_27_HD_28024.pav,240735890.94187433,240735890.94187433,98.72778053448546,0.008662217319089989,0.0013481372342664703,0.0003104609555882972,0.18875541817689817,0.00862011256322353,-25917527.454046477,168824299.58523726
13,61,HD_28024,27,7956.8906,42842,0.7035,0.007103,0.001763,0.000286,0.9498,9714.4,W2,S2,211014_27_HD_28024.pav,242789075.51280716,242789075.51280716,98.72778053448546,0.012756688718363659,0.0018561802484733628,0.000301116024426195,0.16616290053196434,0.005503395409264521,-25917527.454046477,168824299.58523726
