,index,Star,Scan,JD,CHARA_num,wl,v2,v2c,v2sig,v2exp,flux,T1,T2,File,sp_freq,sp_freq_sample,pa,corr_v2,corr_v2c,corr_v2sig,cal_v2,cal_v2sig,u,v
0,48,HD_84999,6,7793.7031,130216,0.7935,0.00583,0.001566,0.000357,0.9741,8905.0,W2,S2,210504_6_HD_84999.pav,191379780.755536,191379780.755536,131.7882675327552,0.008701983994264244,0.001607637819525716,0.0003664921465968587,0.09001728420441635,0.007043691933189934,-101196341.25126356,113228602.35233712
1,49,HD_84999,6,7793.7031,130216,0.7857,0.006905,0.002278,0.000365,0.9736,9386.4,W2,S2,210504_6_HD_84999.pav,193279694.57746953,193279694.57746953,131.7882675327552,0.010371965535204034,0.002339769926047658,0.0003748972884141331,0.07560118271469712,0.005020289521653,-101196341.25126356,113228602.35233712
2,50,HD_84999,6,7793.7031,130216,0.7779,0.007357,0.002254,0.000377,0.9736,9656.0,W2,S2,210504_6_HD_84999.pav,195217709.2550685,195217709.2550685,131.7882675327552,0.01111672398105426,0.0023151191454396053,0.0003872226787181594,0.07529844026962634,0.004670710121747053,-101196341.25126356,113228602.35233712
3,51,HD_84999,6,7793.7031,130216,0.7706,0.007926,0.001929,0.000403,0.974,9455.4,W2,S2,210504_6_HD_84999.pav,197067033.51870984,197067033.51870984,131.7882675327552,0.01203966801948087,0.0019804928131416837,0.0004137577002053388,0.08346404601574785,0.006323216040802001,-101196341.25126356,113228602.35233712
4,52,HD_84999,6,7793.7031,130216,0.7633,0.006373,0.001624,0.000351,0.9753,9876.4,W2,S2,210504_6_HD_84999.pav,198951730.68193084,198951730.68193084,131.7882675327552,0.009723971438612675,0.001665128678355378,0.00035988926484158726,0.07828113272700178,0.008680353376939166,-101196341.25126356,113228602.35233712
5,53,HD_84999,6,7793.7031,130216,0.7564,0.004936,0.001288,0.000332,0.9762,10795.4,W2,S2,210504_6_HD_84999.pav,200766599.72173163,200766599.72173163,131.7882675327552,0.007566500957478652,0.00131940176193403,0.0003400942429829953,0.06991219334113767,0.00479160487335954,-101196341.25126356,113228602.35233712
6,54,HD_84999,6,7793.7031,130216,0.7496,0.003057,0.000851,0.000286,0.9764,11957.7,W2,S2,210504_6_HD_84999.pav,202587854.89530122,202587854.89530122,131.7882675327552,0.004711555216862414,0.00087156902908644,0.0002929127406800492,0.06724423210816366,0.005628733515135289,-101196341.25126356,113228602.35233712
7,55,HD_84999,6,7793.7031,130216,0.7428,0.002668,0.000916,0.000297,0.9754,12393.8,W2,S2,210504_6_HD_84999.pav,204442455.6132442,204442455.6132442,131.7882675327552,0.004139822936427212,0.0009391019069099856,0.00030449046545007175,0.07147709325653316,0.007092463154955789,-101196341.25126356,113228602.35233712
8,56,HD_84999,6,7793.7031,130216,0.736,0.002705,0.000896,0.000283,0.9741,13067.7,W2,S2,210504_6_HD_84999.pav,206331326.12706223,206331326.12706223,131.7882675327552,0.004227400140294024,0.0009198234267529001,0.00029052458679807,0.05214934897509333,0.004287746210634663,-101196341.25126356,113228602.35233712
9,57,HD_84999,6,7793.7031,130216,0.7292,0.003067,0.000898,0.000303,0.9727,13626.9,W2,S2,210504_6_HD_84999.pav,208255425.16390264,208255425.16390264,131.7882675327552,0.004828681119185643,0.0009232034543024571,0.0003115040608615195,0.06035615008061081,0.006778999192642805,-101196341.25126356,113228602.35233712
10,58,HD_84999,6,7793.7031,130216,0.7223,0.002079,0.000542,0.000277,0.9714,14237.3,W2,S2,210504_6_HD_84999.pav,210244851.2107404,210244851.2107404,131.7882675327552,0.003297746796804911,0.0005579575869878525,0.0002851554457484044,0.05592063481374223,0.0075841925517315875,-101196341.25126356,113228602.35233712
11,59,HD_84999,6,7793.7031,130216,0.7159,0.002089,0.000705,0.000277,0.9697,14070.5,W2,S2,210504_6_HD_84999.pav,212124397.3034192,212124397.3034192,131.7882675327552,0.0033387877086727426,0.0007270289780344437,0.00028565535732700837,0.04781410363576535,0.005565200381977777,-101196341.25126356,113228602.35233712
12,60,HD_84999,6,7793.7031,130216,0.7095,0.003703,0.000836,0.00026,0.9681,14571.1,W2,S2,210504_6_HD_84999.pav,214037852.05006033,214037852.05006033,131.7882675327552,0.005963382243371649,0.0008635471542196055,0.0002685672967668629,0.046081502737203926,0.0029977459149163103,-101196341.25126356,113228602.35233712
13,61,HD_84999,6,7793.7031,130216,0.7035,0.004119,0.001248,0.000264,0.9663,14977.9,W2,S2,210504_6_HD_84999.pav,215863334.79675594,215863334.79675594,131.7882675327552,0.006683328295329736,0.0012915243713132567,0.0002732070785470351,0.03598648320170446,0.0017441528446036844,-101196341.25126356,113228602.35233712
14,62,HD_84999,6,7793.7031,130216,0.6977,0.004089,0.001359,0.000281,0.9642,15246.7,W2,S2,210504_6_HD_84999.pav,217657812.85583746,217657812.85583746,131.7882675327552,0.006686212416059759,0.0014094586185438706,0.0002914333125907488,0.03515143277288851,0.001659107816588969,-101196341.25126356,113228602.35233712
15,63,HD_84999,6,7793.7031,130216,0.6918,0.00451,0.00079,0.000332,0.9611,14428.8,W2,S2,210504_6_HD_84999.pav,219514102.38438538,219514102.38438538,131.7882675327552,0.0074410226735466345,0.0008219748205181563,0.00034543751950889606,0.03256438564476941,0.0016991870815705164,-101196341.25126356,113228602.35233712
16,64,HD_84999,6,7793.7031,130216,0.686,0.004754,0.001238,0.000279,0.9595,14521.5,W2,S2,210504_6_HD_84999.pav,221370052.52116296,221370052.52116296,131.7882675327552,0.007902058158024665,0.001290255341323606,0.0002907764460656592,0.034680488594157864,0.0014103617936597234,-101196341.25126356,113228602.35233712
17,65,HD_84999,6,7793.7031,130216,0.6804,0.003487,0.001207,0.000278,0.9595,14627.8,W2,S2,210504_6_HD_84999.pav,223192028.2620779,223192028.2620779,131.7882675327552,0.0058288519138425,0.0012579468473163105,0.0002897342365815529,0.02883310721382572,0.0015349643345662402,-101196341.25126356,113228602.35233712
